frame,t_s,x,y,vx_mps,vy_mps,ax_mps2,ay_mps2,speed_mps,intensity_v,distance_m,distance_v,total_v,pan
0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.03333333333333333,0.0,-0.9999928459267696,0.0,0.00047059493709236254,0.0,0.014117848112770877,1.011111111111111,0.0,0.0,0.0,0.0,0.0
2,0.06666666666666667,0.0,-0.9999671285113951,0.0,0.0010811432602158598,0.0,0.01831644969370492,1.0222222222222221,0.0,0.0,0.0,0.0,0.0
3,0.1,0.0,-0.9999197915466941,0.0,0.0017587040194871222,0.0,0.02032682277813787,1.0333333333333334,0.0,0.0,0.0,0.0,0.0
4,0.13333333333333333,0.0,-0.999848962300453,0.0,0.002483814969052179,0.0,0.02175332848695171,1.0444444444444445,0.0,0.0,0.0,0.0,0.0
5,0.16666666666666666,0.0,-0.9997532328240956,0.0,0.0032464689661990346,0.0,0.022879619914405663,1.0555555555555556,0.0,0.0,0.0,0.0,0.0
6,0.2,0.0,-0.9996314587265227,0.0,0.004040440828223061,0.0,0.02381915586072078,1.0666666666666667,0.0,0.0,0.0,0.0,0.0
7,0.23333333333333334,0.0,-0.9994826683257979,0.0,0.004861439647002295,0.0,0.02462996456337703,1.0777777777777777,0.0,0.0,0.0,0.0,0.0
8,0.26666666666666666,0.0,-0.9993060129719508,0.0,0.0057063083381345,0.0,0.02534606073396614,1.0888888888888888,0.0,0.0,0.0,0.0,0.0
9,0.3,0.0,-0.9991007366328833,0.0,0.0065726160321038386,0.0,0.025989230819080163,1.1,0.0,0.0,0.0,0.0,0.0
10,0.3333333333333333,0.0,-0.9988661558038852,0.0,0.0074584271220435126,0.0,0.02657433269819022,1.1111111111111112,0.0,0.0,0.0,0.0,0.0
11,0.36666666666666664,0.0,-0.9986016454859682,0.0,0.008362159993910549,0.0,0.02711198615601108,1.1222222222222222,0.0,0.0,0.0,0.0,0.0
12,0.4,0.0,-0.9983066289816324,0.0,0.009282495465685376,0.0,0.027610064153244813,1.1333333333333333,0.0,0.0,0.0,0.0,0.0
13,0.43333333333333335,0.0,-0.9979805702198706,0.0,0.010218314687454627,0.0,0.028074576653077544,1.1444444444444444,0.0,0.0,0.0,0.0,0.0
14,0.4666666666666667,0.0,-0.9976229678274247,0.0,0.011168655450857806,0.0,0.02851022290209535,1.1555555555555554,0.0,0.0,0.0,0.0,0.0
15,0.5,0.0,-0.9972333504468485,0.0,0.012132680507087223,0.0,0.028920751686882518,1.1666666666666667,0.0,0.0,0.0,0.0,0.0
16,0.5333333333333333,0.0,-0.9968112729699624,0.0,0.013109654002241927,0.0,0.029309204854641134,1.1777777777777778,0.0,0.0,0.0,0.0,0.0
17,0.5666666666666667,0.0,-0.9963563134593997,0.0,0.014098923567099185,0.0,0.029678086945717722,1.1888888888888889,0.0,0.0,0.0,0.0,0.0
18,0.6,0.0,-0.9958680705979359,0.0,0.01509990644820964,0.0,0.03002948643331364,1.2,0.0,0.0,0.0,0.0,0.0
19,0.6333333333333333,0.0,-0.9953461615497824,0.0,0.016112078592384876,0.0,0.030365164325257092,1.211111111111111,0.0,0.0,0.0,0.0,0.0
20,0.6666666666666666,0.0,-0.9947902201483997,0.0,0.017134965931913302,0.0,0.03068662018585279,1.2222222222222223,0.0,0.0,0.0,0.0,0.0
21,0.7,0.0,-0.9941998953466298,0.0,0.01816813733803289,0.0,0.030995142183587662,1.2333333333333334,0.0,0.0,0.0,0.0,0.0
22,0.7333333333333333,0.0,-0.9935748498801157,0.0,0.019211198858454126,0.0,0.03129184561263706,1.2444444444444445,0.0,0.0,0.0,0.0,0.0
23,0.7666666666666667,0.0,-0.9929147591060178,0.0,0.02026378895678916,0.0,0.03157770295005101,1.2555555555555555,0.0,0.0,0.0,0.0,0.0
24,0.8,0.0,-0.9922193099872056,0.0,0.02132557454340045,0.0,0.0318535675983387,1.2666666666666666,0.0,0.0,0.0,0.0,0.0
25,0.8333333333333334,0.0,-0.9914882001982401,0.0,0.022396247638390668,0.0,0.03212019284970655,1.2777777777777777,0.0,0.0,0.0,0.0,0.0
26,0.8666666666666667,0.0,-0.9907211373341335,0.0,0.023475522544642344,0.0,0.03237824718755028,1.288888888888889,0.0,0.0,0.0,0.0,0.0
27,0.9,0.0,-0.9899178382064795,0.0,0.024563133436214177,0.0,0.03262832674715499,1.3,0.0,0.0,0.0,0.0,0.0
28,0.9333333333333333,0.0,-0.9890780282143505,0.0,0.02565883228785806,0.0,0.03287096554931649,1.3111111111111111,0.0,0.0,0.0,0.0,0.0
29,0.9666666666666667,0.0,-0.9882014407795752,0.0,0.026762387086880904,0.0,0.03310664397068532,1.3222222222222222,0.0,0.0,0.0,0.0,0.0
30,1.0,0.0,-0.9872878168377662,0.0,0.027873580280391372,0.0,0.03333579580531404,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
31,1.0333333333333334,0.0,-0.9863369043778818,0.0,0.02899220742009467,0.0,0.03355881419109894,1.3444444444444446,0.0,0.0,0.0,0.0,0.0
32,1.0666666666666667,0.0,-0.9853484580242451,0.0,0.030118075973911196,0.0,0.03377605661449578,1.3555555555555556,0.0,0.0,0.0,0.0,0.0
33,1.1,0.0,-0.9843222386558754,0.0,0.03125100427928842,0.0,0.033987849161316655,1.3666666666666667,0.0,0.0,0.0,0.0,0.0
34,1.1333333333333333,0.0,-0.9832580130587505,0.0,0.03239082061751152,0.0,0.034194490146693124,1.3777777777777778,0.0,0.0,0.0,0.0,0.0
35,1.1666666666666667,0.0,-0.9821555536072484,0.0,0.03353736239186302,0.0,0.034396253230545015,1.3888888888888888,0.0,0.0,0.0,0.0,0.0
36,1.2,0.0,-0.9810146379715405,0.0,0.03469047539533506,0.0,0.03459339010416118,1.4,0.0,0.0,0.0,0.0,0.0
37,1.2333333333333334,0.0,-0.9798350488481503,0.0,0.035850013155910014,0.0,0.03478613281724857,1.4111111111111112,0.0,0.0,0.0,0.0,0.0
38,1.2666666666666666,0.0,-0.9786165737112524,0.0,0.03701583634931089,0.0,0.03497469580202625,1.4222222222222223,0.0,0.0,0.0,0.0,0.0
39,1.3,0.0,-0.9773590045826069,0.0,0.038187812270669676,0.0,0.0351592776407636,1.4333333333333333,0.0,0.0,0.0,0.0,0.0
40,1.3333333333333333,0.0,-0.9760621378182803,0.0,0.03936581435783809,0.0,0.03534006261505247,1.4444444444444444,0.0,0.0,0.0,0.0,0.0
41,1.3666666666666667,0.0,-0.9747257739105339,0.0,0.0405497217601238,0.0,0.03551722206857129,1.4555555555555555,0.0,0.0,0.0,0.0,0.0
42,1.4,0.0,-0.9733497173034521,0.0,0.04173941894711719,0.0,0.035690915609801685,1.4666666666666666,0.0,0.0,0.0,0.0,0.0
43,1.4333333333333333,0.0,-0.9719337762210464,0.0,0.04293479535301322,0.0,0.0358612921768809,1.4777777777777779,0.0,0.0,0.0,0.0,0.0
44,1.4666666666666666,0.0,-0.9704777625067196,0.0,0.04413574505245434,0.0,0.03602849098323348,1.488888888888889,0.0,0.0,0.0,0.0,0.0
45,1.5,0.0,-0.9689814914730911,0.0,0.045342166464445915,0.0,0.03619264235974737,1.5,0.0,0.0,0.0,0.0,0.0
46,1.5333333333333334,0.0,-0.9674447817612996,0.0,0.04655396208134159,0.0,0.03635386850687025,1.511111111111111,0.0,0.0,0.0,0.0,0.0
47,1.5666666666666667,0.0,-0.9658674552089854,0.0,0.047771038220275286,0.0,0.03651228416801086,1.5222222222222221,0.0,0.0,0.0,0.0,0.0
